,County,CountCounty
0,Alamance,3
1,Avery,2
2,Bertie,3
3,Brunswick,7
4,Buncombe,3
5,Burke,2
6,Cabarrus,1
7,Caldwell,3
8,Camden,1
9,Carteret,3
10,Caswell,1
11,Catawba,4
12,Chatham,1
13,Cleveland,4
14,Columbus,1
15,Craven,3
16,Cumberland,5
17,Currituck,2
18,Dare,5
19,Davidson,5
20,Davie,1
21,Duplin,3
22,Durham,7
23,Edgecombe,2
24,Forsyth,2
25,Franklin,1
26,Gaston,3
27,Gates,2
28,Granville,1
29,Guilford,10
30,Halifax,4
31,Harnett,8
32,Henderson,2
33,Hertford,3
34,Hoke,2
35,Iredell,3
36,Johnston,2
37,Jones,2
38,Lee,3
39,Lenoir,1
40,Madison,2
41,Mecklenburg,22
42,Moore,2
43,Nash,6
44,New Hanover,13
45,Onslow,9
46,Orange,5
47,Pamlico,1
48,Pasquotank,2
49,Pender,2
50,Person,1
51,Pitt,5
52,Polk,1
53,Randolph,1
54,Richmond,1
55,Robeson,19
56,Rockingham,4
57,Rowan,1
58,Rutherford,1
59,Sampson,2
60,Scotland,4
61,Stokes,2
62,Surry,1
63,Swain,1
64,Union,5
65,Vance,1
66,Wake,18
67,Washington,2
68,Wayne,2
69,Wilkes,1
70,Wilson,1
