,County,CountCounty
0,Alamance,29
1,Alexander,6
2,Anson,8
3,Ashe,3
4,Beaufort,15
5,Bertie,11
6,Bladen,16
7,Brunswick,25
8,Buncombe,63
9,Burke,16
10,Cabarrus,23
11,Caldwell,12
12,Camden,1
13,Carteret,11
14,Caswell,3
15,Catawba,36
16,Chatham,14
17,Cherokee,6
18,Clay,2
19,Cleveland,29
20,Columbus,25
21,Craven,22
22,Cumberland,105
23,Currituck,13
24,Dare,12
25,Davidson,35
26,Davie,4
27,Duplin,17
28,Durham,49
29,Edgecombe,11
30,Forsyth,69
31,Franklin,15
32,Gaston,47
33,Gates,3
34,Graham,2
35,Granville,12
36,Greene,4
37,Guilford,109
38,Halifax,22
39,Harnett,29
40,Haywood,6
41,Henderson,20
42,Hertford,3
43,Hoke,18
44,Hyde,1
45,Iredell,30
46,Jackson,9
47,Johnston,42
48,Lee,19
49,Lenoir,12
50,Lincoln,15
51,Macon,6
52,Madison,3
53,Martin,8
54,Mcdowell,9
55,Mecklenburg,245
56,Mitchell,4
57,Montgomery,5
58,Moore,15
59,Nash,34
60,New Hanover,64
61,Northampton,7
62,Onslow,47
63,Orange,22
64,Pamlico,4
65,Pasquotank,10
66,Pender,20
67,Person,6
68,Pitt,40
69,Polk,1
70,Randolph,26
71,Richmond,11
72,Robeson,82
73,Rockingham,18
74,Rowan,24
75,Rutherford,15
76,Sampson,26
77,Scotland,6
78,Stanly,11
79,Stokes,10
80,Surry,13
81,Swain,1
82,Transylvania,2
83,Tyrrell,1
84,Union,30
85,Vance,11
86,Wake,158
87,Warren,8
88,Washington,3
89,Watauga,3
90,Wayne,37
91,Wilkes,7
92,Wilson,21
93,Yadkin,1
94,Yancey,4
