,geo_point_2d,Ambulance,BikeAge,BikeAgeGrp,BikeAlcDrg,BikeInjury,BikeRace,BikeSex,City,County,Day of Week,CrashGrp,CrashHour,CrashLoc,CrashMonth,CrashSevr,CrashType,CrashYear,DrvrAge,DrvrAgeGrp,DrvrAlcDrg,DrvrAlcFlg,DrvrInjury,DrvrRace,DrvrSex,DrvrVehTyp,HitRun,LightCond,Locality,SpeedLimit,TraffCntrl,Weather,Workzone,SpeedLimit_upper_value,Age
107,"35.2467159998,-81.4257199999",Yes,46,40-49,.,K: Killed,White,Male,None - Rural Crash,Cleveland,Friday,Parallel Paths - Other Circumstances,12,Non-Intersection,January,K: Killed,Parallel Paths - Other / Unknown,2007,35,30-39,.,No,O: No Injury,White,Male,Tractor/Semi-Trailer,No,Daylight,Rural (<30% Developed),60 - 75 MPH,No Control Present,Clear,No,75,46
130,"35.9863780002,-82.6899900003",Yes,64,60-69,.,K: Killed,White,Male,None - Rural Crash,Madison,Sunday,Motorist Overtaking Bicyclist,13,Non-Intersection,March,K: Killed,Motorist Overtaking - Misjudged Space,2007,20,20-24,.,No,O: No Injury,White,Male,Pickup,No,Daylight,Rural (<30% Developed),50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,55,64
147,"36.294113,-78.5467199997",Yes,45,40-49,.,K: Killed,Black,Male,None - Rural Crash,Granville,Sunday,Motorist Overtaking Bicyclist,22,Non-Intersection,April,K: Killed,Motorist Overtaking - Undetected Bicyclist,2007,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown,Yes,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),20 - 25  MPH,No Control Present,Rain,No,25,45
214,"35.5845570001,-77.3623000005",Yes,29,25-29,.,K: Killed,White,Male,Greenville,Pitt,Saturday,Bicyclist Failed to Yield - Sign-Controlled Intersection,12,Intersection,March,K: Killed,Bicyclist Ride Out - Sign-Controlled Intersection,2008,19,0-19,.,No,O: No Injury,Hispanic,Male,Passenger Car,No,Daylight,Urban (>70% Developed),40 - 45  MPH,No Control Present,Clear,No,45,29
246,"35.8763660002,-78.5756699999",Yes,38,30-39,.,K: Killed,White,Male,Raleigh,Wake,Saturday,Motorist Overtaking Bicyclist,6,Non-Intersection,August,K: Killed,Motorist Overtaking - Undetected Bicyclist,2008,36,30-39,.,No,O: No Injury,Black,Male,Passenger Car,No,Dark - Roadway Not Lighted,Urban (>70% Developed),50 - 55  MPH,No Control Present,Cloudy,No,55,38
261,"34.1079300003,-77.9219800001",Yes,45,40-49,.,K: Killed,White,Male,None - Rural Crash,New Hanover,Tuesday,Motorist Right Turn / Merge,18,Non-Intersection,September,K: Killed,Motorist Right Turn - Same Direction,2008,19,0-19,.,No,O: No Injury,White,Male,Passenger Car,No,Daylight,Rural (<30% Developed),50 - 55  MPH,Other,Clear,No,55,45
270,"34.8021849997,-76.8782900003",Yes,28,25-29,.,K: Killed,White,Male,None - Rural Crash,Carteret,Wednesday,Motorist Overtaking Bicyclist,17,Non-Intersection,December,K: Killed,Motorist Overtaking - Other / Unknown,2008,21,20-24,.,No,O: No Injury,Black,Male,Passenger Car,No,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),50 - 55  MPH,No Control Present,Clear,No,55,28
311,"35.7214929998,-78.8649700004",Yes,51,50-59,.,K: Killed,White,Male,Apex,Wake,Saturday,Bicyclist Left Turn / Merge,11,Intersection,July,K: Killed,Bicyclist Left Turn - Opposite Direction,2009,29,25-29,.,No,O: No Injury,Black,Male,Passenger Car,No,Daylight,Urban (>70% Developed),40 - 45  MPH,No Control Present,Clear,No,45,51
348,"35.4026846496,-77.9716042402",Yes,34,30-39,No,K: Killed,White,Male,Goldsboro,Wayne,Thursday,Motorist Overtaking Bicyclist,19,Non-Intersection,March,K: Killed,Motorist Overtaking - Undetected Bicyclist,2010,72,70+,No,No,O: No Injury,Black,Male,Pickup,No,Dark - Roadway Not Lighted,Urban (>70% Developed),40 - 45  MPH,No Control Present,Clear,No,45,34
371,"36.2290972498,-79.2963211904",Yes,54,50-59,"Yes-Alcohol, impairment detected",K: Killed,Black,Male,None - Rural Crash,Alamance,Saturday,Motorist Overtaking Bicyclist,23,Non-Intersection,May,K: Killed,Motorist Overtaking - Other / Unknown,2010,43,40-49,"Yes-Alcohol, impairment detected",Yes,O: No Injury,White,Male,Pickup,No,Dark - Roadway Not Lighted,Rural (<30% Developed),50 - 55  MPH,No Control Present,"Fog, Smog, Smoke",No,55,54
390,"35.6921053202,-77.4491290204",Yes,16,16-19,No,K: Killed,Black,Male,None - Rural Crash,Pitt,Monday,Bicyclist Left Turn / Merge,13,Non-Intersection,June,K: Killed,Bicyclist Left Turn - Same Direction,2010,23,20-24,No,No,O: No Injury,White,Male,Passenger Car,No,Daylight,Mixed (30% To 70% Developed),50 - 55  MPH,No Control Present,Clear,No,55,16
450,"34.5900858703,-79.0428687502",Yes,51,50-59,"Yes-Alcohol, impairment suspected",K: Killed,Black,Female,Lumberton,Robeson,Friday,Bicyclist Failed to Yield - Midblock,23,Non-Intersection,June,K: Killed,Bicyclist Ride Out - Midblock - Unknown,2011,53,50-59,No,No,O: No Injury,Black,Male,Pickup,No,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),50 - 55  MPH,No Control Present,Clear,No,55,51
518,"34.7581521898,-79.4592750199",Yes,30,30-39,No,K: Killed,Black,Male,Laurinburg,Scotland,Wednesday,Loss of Control / Turning Error,8,Non-Intersection,May,K: Killed,Motorist Lost Control - Other / Unknown,2012,64,60-69,"Yes-Drugs, impairment suspected",No,O: No Injury,Black,Female,Passenger Car,No,Daylight,Urban (>70% Developed),30 - 35  MPH,No Control Present,Clear,No,35,30
556,"34.8007839297,-79.33855606",Yes,71,70+,No,K: Killed,Native American,Male,None - Rural Crash,Robeson,Thursday,Motorist Overtaking Bicyclist,17,Non-Intersection,November,K: Killed,Motorist Overtaking - Bicyclist Swerved,2012,78,70+,No,No,O: No Injury,White,Male,Pickup,No,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),50 - 55  MPH,No Control Present,Clear,No,55,71
612,"35.1931261401,-77.1319756704",Yes,69,60-69,No,K: Killed,White,Female,None - Rural Crash,Craven,Saturday,Bicyclist Left Turn / Merge,9,Intersection-Related,September,K: Killed,Bicyclist Left Turn - Same Direction,2013,64,60-69,No,No,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,Daylight,Rural (<30% Developed),50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,55,69
790,"35.3717076201,-81.0958379799",Yes,16,16-19,No,K: Killed,White,Male,None - Rural Crash,Gaston,Thursday,Head-On,19,Non-Intersection,December,K: Killed,Head-On - Bicyclist,2014,16,0-19,No,No,O: No Injury,White,Female,Sport Utility,No,Dark - Roadway Not Lighted,Rural (<30% Developed),40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,45,16
813,"36.1226229304,-77.3966347804",Yes,63,60-69,No,K: Killed,Black,Male,None - Rural Crash,Halifax,Friday,Motorist Overtaking Bicyclist,21,Non-Intersection,September,K: Killed,Motorist Overtaking - Other / Unknown,2014,25,25-29,No,No,O: No Injury,Black,Male,Passenger Car,No,Dark - Roadway Not Lighted,Rural (<30% Developed),50 - 55  MPH,No Control Present,Clear,No,55,63
852,"35.9788573599,-78.7637195099",Yes,66,60-69,Unknown,K: Killed,White,Male,None - Rural Crash,Durham,Tuesday,Motorist Overtaking Bicyclist,10,Non-Intersection,May,K: Killed,Motorist Overtaking - Other / Unknown,2016,33,30-39,Unknown,Unknown,O: No Injury,White,Male,Pickup,No,Daylight,Rural (<30% Developed),50 - 55  MPH,No Control Present,Clear,No,55,66
904,"34.1758201796,-77.8941120698",Yes,20,20-24,Unknown,K: Killed,White,Female,Wilmington,New Hanover,Monday,Motorist Failed to Yield - Sign-Controlled Intersection,17,Intersection,May,K: Killed,Motorist Drive Out - Sign-Controlled Intersection,2017,24,20-24,No,No,O: No Injury,Black,Male,Tractor/Semi-Trailer,No,Daylight,Urban (>70% Developed),20 - 25  MPH,Stop Sign,Clear,No,25,20
996,"34.9777950001,-80.7288900002",Yes,46,40-49,.,K: Killed,White,Male,Wesley Chapel,Union,Sunday,Head-On,15,Non-Intersection,January,K: Killed,Head-On - Motorist,2008,46,40-49,.,No,B: Suspected Minor Injury,White,Female,Van,No,Daylight,Rural (<30% Developed),30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35,46
1017,"34.7346600002,-77.5729450002",No,20,20-24,.,K: Killed,White,Male,None - Rural Crash,Onslow,Thursday,Motorist Overtaking Bicyclist,6,Non-Intersection,September,K: Killed,Motorist Overtaking - Undetected Bicyclist,2007,19,0-19,.,No,O: No Injury,White,Male,Passenger Car,No,Dark - Roadway Not Lighted,Rural (<30% Developed),40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,45,20
1103,"35.6938699997,-80.8439699999",Yes,17,16-19,.,K: Killed,White,Male,None - Rural Crash,Iredell,Monday,Bicyclist Failed to Yield - Midblock,18,Non-Intersection,October,K: Killed,Bicyclist Ride Out - Midblock - Unknown,2008,62,60-69,.,No,B: Suspected Minor Injury,White,Female,Passenger Car,No,Dusk,Rural (<30% Developed),50 - 55  MPH,Stop Sign,Clear,No,55,17
1115,"35.3539600004,-77.4660199998",Yes,35,30-39,.,K: Killed,Black,Male,None - Rural Crash,Lenoir,Thursday,Motorist Overtaking Bicyclist,6,Non-Intersection,November,K: Killed,Motorist Overtaking - Other / Unknown,2008,29,25-29,.,No,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),60 - 75 MPH,No Control Present,Cloudy,No,75,35
1132,"35.009605,-79.0242500004",Yes,18,16-19,.,C: Possible Injury,White,Male,Fayetteville,Cumberland,Thursday,Motorist Overtaking Bicyclist,7,Non-Intersection,November,K: Killed,Motorist Overtaking - Other / Unknown,2009,44,40-49,.,No,B: Suspected Minor Injury,White,Male,Pickup,No,Daylight,Urban (>70% Developed),50 - 55  MPH,No Control Present,Cloudy,No,55,18
