,geo_point_2d,Ambulance,City,County,Alcohol Present,Day of Week,CrashGrp,CrashHour,CrashLoc,CrashMonth,CrashSevr,CrashType,CrashYear,DrvrAge,DrvrAgeGrp,DrvrAlcDrg,DrvrAlcFlg,DrvrInjury,DrvrRace,DrvrSex,DrvrVehTyp,HitRun,Latitude,LightCond,Locality,Longitude,PedAge,PedAgeGrp,PedAlcDrg,PedIntox,PedInjury,PedPos,PedRace,PedSex,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,SpeedLimit_upper_value,Age
0,"35.5030005611,-83.0770548701",Yes,None - Rural Crash,Haywood,No,Wednesday,Unusual Circumstances,22,Non-Roadway,October,K: Killed,Driverless Vehicle,2016,999,Unknown,Missing,Missing,Unknown Injury,Unknown/Missing,Unknown,Sport Utility,No,35.503000561,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-83.07705487,36,30-39,No,No,K: Killed,Driveway / Alley,White,Female,None,"Driveway, Private",Gravel,Mountains,Rural,Unknown,No Control Present,Clear,No,0,36
6,"35.1091595442,-77.0566501597",Yes,New Bern,Craven,No,Thursday,Crossing Roadway—Vehicle Not Turning,20,Non-Intersection,October,K: Killed,Pedestrian Failed to Yield,2016,80,70+,No,No,O: No Injury,Black,Male,Pickup,No,35.109159544,Dark - Lighted Roadway,Urban (>70% Developed),-77.05665016,59,50-59,No,No,K: Killed,Travel Lane,Black,Male,None,No Special Feature,Smooth Asphalt,Coastal,Urban,30 - 35  MPH,No Control Present,Clear,No,35,59
74,"35.6536136993,-80.5110295305",No,Salisbury,Rowan,Yes,Tuesday,Walking Along Roadway,22,Non-Intersection,March,K: Killed,Walking Along Roadway With Traffic - From Behind,2017,33,30-39,No,No,O: No Injury,White,Male,Passenger Car,No,35.653613699,Dark - Roadway Not Lighted,Rural (<30% Developed),-80.51102953,31,30-39,"Yes-Alcohol, impairment suspected",Yes,K: Killed,Travel Lane,Hispanic,Male,None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,45,31
92,"35.5322933194,-78.3084641203",Yes,Selma,Johnston,No,Saturday,Unusual Circumstances,14,Non-Intersection,June,K: Killed,Disabled Vehicle-Related,2017,999,Unknown,Missing,Missing,Unknown Injury,Unknown/Missing,Unknown,Pickup,No,35.532293319000004,Daylight,Rural (<30% Developed),-78.30846412,23,20-24,No,No,K: Killed,Paved Shoulder / Bike Lane / Parking Lane,Hispanic,Female,None,On or Off Ramp,Coarse Asphalt,Coastal,Urban,50 - 55  MPH,No Control Present,Clear,No,55,23
121,"35.747249338,-81.6016830599",Yes,None - Rural Crash,Burke,No,Monday,Working or Playing in Roadway,0,Non-Intersection,October,K: Killed,Working in Roadway,2017,58,50-59,"Yes-Drugs, impairment suspected",No,C: Possible Injury,White,Male,Pickup,No,35.747249338,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-81.60168306,40,40-49,No,No,K: Killed,Travel Lane,White,Male,None,No Special Feature,Coarse Asphalt,Mountains,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Rain,No,45,40
122,"35.2208946186,-80.8106824196",Yes,Charlotte,Mecklenburg,No,Monday,Crossing Roadway—Vehicle Not Turning,0,Non-Intersection,October,K: Killed,Pedestrian Failed to Yield,2017,46,40-49,No,No,O: No Injury,Black,Male,Sport Utility,No,35.220894619,Dark - Lighted Roadway,Urban (>70% Developed),-80.81068242,59,50-59,Unknown,Unknown,K: Killed,Travel Lane,Black,Male,None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35,59
144,"35.9156566554,-78.7766520605",Yes,Raleigh,Wake,Yes,Saturday,Crossing Roadway—Vehicle Not Turning,18,Intersection,December,K: Killed,Motorist Failed to Yield,2017,30,30-39,"Yes-Alcohol, impairment suspected",Yes,B: Suspected Minor Injury,White,Male,Passenger Car,No,35.915656655,Dark - Lighted Roadway,Mixed (30% To 70% Developed),-78.77665206,72,70+,No,No,K: Killed,Crosswalk Area,Hispanic,Male,None,No Special Feature,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,No Control Present,Clear,No,35,72
166,"36.0911800001,-80.2531999999",Yes,Winston-Salem,Forsyth,No,Tuesday,Crossing Expressway,1,Non-Intersection,April,K: Killed,Crossing an Expressway,2007,42,40-49,.,No,O: No Injury,White,Male,Tractor/Semi-Trailer,No,36.09118,Dark - Roadway Not Lighted,Mixed (30% To 70% Developed),-80.2532,25,21-25,.,No,K: Killed,Travel Lane,Black,Male,None,No Special Feature,Concrete,Piedmont,Urban,60 - 75 MPH,No Control Present,Clear,No,75,25
181,"35.9109999996,-82.3291000002",Yes,None - Rural Crash,Yancey,No,Thursday,Backing Vehicle,11,Non-Intersection,March,K: Killed,Backing Vehicle - Roadway,2007,24,20-24,.,No,O: No Injury,White,Female,Sport Utility,No,35.911,Daylight,Mixed (30% To 70% Developed),-82.3291,2,0-5,.,No,K: Killed,Travel Lane,White,Female,None,"Driveway, Private",Gravel,Mountains,Rural,Unknown,No Control Present,Cloudy,No,0,2
193,"34.7566799997,-79.4661",Yes,Laurinburg,Scotland,No,Monday,Crossing Roadway—Vehicle Not Turning,21,Non-Intersection,May,K: Killed,Pedestrian Failed to Yield,2007,67,60-69,.,No,O: No Injury,White,Female,Passenger Car,No,34.756679999999996,Dark - Lighted Roadway,Urban (>70% Developed),-79.4661,64,61-79,.,No,K: Killed,Travel Lane,Native American,Male,None,No Special Feature,Coarse Asphalt,Coastal,Urban,30 - 35  MPH,No Control Present,Clear,No,35,64
195,"34.5379000003,-77.5039999995",Yes,None - Rural Crash,Onslow,No,Thursday,Walking Along Roadway,2,Non-Intersection,May,K: Killed,Walking Along Roadway With Traffic - From Behind,2007,52,50-59,.,No,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)",No,34.5379,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.50399999999999,20,16-20,.,No,K: Killed,Travel Lane,White,Male,None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Cloudy,No,55,20
213,"36.1128099997,-79.4813000004",Yes,Elon College,Alamance,No,Saturday,Unusual Circumstances,10,Non-Intersection,July,K: Killed,Vehicle-Vehicle / Object,2007,32,30-39,.,No,B: Suspected Minor Injury,Black,Female,Sport Utility,No,36.112809999999996,Daylight,Mixed (30% To 70% Developed),-79.4813,43,41-50,.,No,K: Killed,Other / Unknown,White,Male,None,No Special Feature,Smooth Asphalt,Piedmont,Urban,50 - 55  MPH,No Control Present,Clear,No,55,43
216,"36.0093167251,-77.5332204197",Yes,None - Rural Crash,Edgecombe,No,Saturday,Crossing Roadway—Vehicle Not Turning,19,Non-Intersection,November,K: Killed,Pedestrian Failed to Yield,2010,69,60-69,No,No,B: Suspected Minor Injury,Black,Male,Van,No,36.009316725,Dark - Roadway Not Lighted,Rural (<30% Developed),-77.53322042,25,25-29,No,No,K: Killed,Travel Lane,Black,Male,None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,55,25
237,"35.7344100001,-79.7800000006",Yes,None - Rural Crash,Randolph,No,Monday,Unique Midblock,14,Non-Intersection,August,K: Killed,Mailbox-Related,2007,25,25-29,.,No,O: No Injury,White,Male,Passenger Car,No,35.73441,Daylight,Rural (<30% Developed),-79.78,70+,71+,.,No,K: Killed,Unpaved Right-of-Way,White,Male,None,"Driveway, Private",Smooth Asphalt,Piedmont,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,55,70
246,"35.2807345652,-78.0360523098",Yes,None - Rural Crash,Wayne,Yes,Sunday,Walking Along Roadway,2,Non-Intersection,January,K: Killed,Walking Along Roadway With Traffic - From Behind,2011,22,20-24,"Yes-Alcohol, impairment suspected",Yes,O: No Injury,White,Male,Passenger Car,No,35.280734565,Dark - Roadway Not Lighted,Rural (<30% Developed),-78.03605231,48,40-49,"Yes-Alcohol and Drugs, impairment suspected",Yes,K: Killed,Travel Lane,White,Male,None,No Special Feature,Coarse Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,55,48
259,"36.0962600001,-78.4693",Yes,Franklinton,Franklin,Yes,Tuesday,Pedestrian in Roadway—Circumstances Unknown,22,Non-Intersection,September,K: Killed,Walking in Roadway,2007,17,0-19,.,No,O: No Injury,Black,Male,Sport Utility,No,36.09626,Dark - Roadway Not Lighted,Rural (<30% Developed),-78.4693,47,41-50,.,Yes,K: Killed,Travel Lane,Black,Male,None,No Special Feature,Coarse Asphalt,Piedmont,Rural,50 - 55  MPH,Other,Clear,No,55,47
